CS 39000-DS0,Distributed Systems,fall
CS 39000-SLO,Service Learn Outreach,fall
CS 39100-LE1,Junior Resources Semnr,William N Crum,fall
CS 39700,Honors Seminar,"Samuel S. Wagstaff, Jr.",fall
CS 42200,Computer Networks,Kihong Park,fall
CS 47100,Introduction to Artificial Intelligence,fall
CS 49000-ST0,Software Testing,Xiangyu Zhang,fall
CS 49000-WIR,Web Information Retrieval,fall
CS 49700,Honors Research Project,fall
CS 50100,Introduction to Computational Science,fall
CS 50200,Compiling and Programming Systems,Zhiyuan Li,fall
CS 50300,Operating Systems,Douglas E. Comer,fall
CS 50500,Distributed Systems,fall
CS 51400,Numerical Analysis,Suchuan Dong,fall
CS 51500,Numerical Linear Algebra,Ahmed Sameh,fall
CS 52600,Information Security,Ninghui Li,fall
CS 53000,Introduction to Scientific Visualization,Xavier Tricoche,fall
CS 53500,Interactive Computer Graphics,Voicu S. Popescu,fall
CS 53600,Data Communication and Computer Networks,fall
CS 54100,Database Systems,Walid G. Aref,fall
CS 54300,Introduction to Simulation and Modeling of Computer Systems,Vernon J. Rego,fall
CS 56500,Programming Languages,Suresh Jagannathan,fall
CS 58000,"Algorithm Design, Analysis, and Implementation",Mikhail Atallah,fall
CS 59000-CLS,Computing For Life Sciences,Daisuke Kihara,fall
CS 59000-ML0,Statistical Machine Learning,fall
CS 59000-NMC,Network & Matrix Computations,David Gleich,fall
CS 59100-DSN,Dist Systems & Netwkng Seminar,fall
CS 59100-MLG,Machine Learn Reading Group,Sergey Kirshner,fall
CS 59100-RS1,Res Sem 1st-Yr Gr Student,Kihong Park,fall
CS 59100-SEC,Info Sec&Cybr Crime Sem,fall
CS 69000-GNA,Graph & Netwk Algo:Thry&Prac,Alex Pothen,fall
CS 11000,Introduction to Computers,Marta A. Crowe,spring
CS 15800,C Programming,William N Crum,spring
CS 15900,Programming Applications For Engineers,William N Crum,spring
CS 17700,Programming with Multimedia Objects,Christoph M. Hoffmann,spring
CS 18000,Programming I,Christopher W. Clifton,spring
CS 18200,Foundations of Computer Science,"Mikhail Atallah, Wojciech Szpankowski",spring
CS 19000-CEC,Contempory Issues Computing,spring
CS 19700,Freshman Honors Seminar,Kihong Park,spring
CS 23500,Introduction to Organizational Computing,spring
CS 24000,Programming in C,Suresh Jagannathan,spring
CS 25000,Computer Architecture,Dongyan Xu,spring
CS 25100,Data Structures,"Jennifer Neville, Xavier Tricoche",spring
CS 25200,Systems Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 29000-SLO,Service Learning Outreach,spring
CS 30700,Software Engineering I,H. E. Dunsmore,spring
CS 31400,Numerical Methods,Elisha Sacks,spring
CS 34800,Information Systems,Walid G. Aref,spring
CS 35200,Compilers: Principles and Practice,Xiangyu Zhang,spring
CS 35400,Operating Systems,spring
CS 38100,Introduction to the Analysis of Algorithms,Greg N. Frederickson,spring
CS 39000-CPP,C++ Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-JAV,Advanced Java Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-PYT,Python Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-SLO,Service Learning Outreach,spring
CS 42200,Computer Networks,Kihong Park,spring
CS 44800,Introduction to Relational Database Systems,Sunil Prabhakar,spring
CS 45600,Programming Languages,spring
CS 49000-ES0,Software For Embedded Systems,spring
CS 49000-HC0,HCI Issues And Implementation,spring
CS 49000-ST0,Software Testing,Aditya P. Mathur,spring
CS 49700,Honors Research Project,spring
CS 50200,Compiling and Programming Systems,spring
CS 50300,Operating Systems,spring
CS 50500,Distributed Systems,Ananth Grama,spring
CS 51400,Numerical Analysis,Walter Gautschi,spring
CS 51501,Parallel Numerical Linear Algebra,Ahmed Sameh,spring
CS 52500,Parallel Computing,Alex Pothen,spring
CS 52600,Information Security,Ninghui Li,spring
CS 53600,Data Communication and Computer Networks,Sonia Fahmy,spring
CS 54200,Distributed Database Systems,Bharat Bhargava,spring
CS 54300,Introduction to Simulation and Modeling of Computer Systems,Vernon J. Rego,spring
CS 54701,Information Retrieval,spring
CS 55500,Cryptography,"Samuel S. Wagstaff, Jr.",spring
CS 57800,Machine Learning,spring
CS 59000-CC0,Cyber Conflict In 21st Century,Eugene H. Spafford,spring
CS 59000-ES0,Embedded Systems,spring
CS 59000-ML0,Statistical Machine Learning,spring
CS 59100-DS0,Dist Systems & Netwkng Seminar,spring
CS 59100-SEC,Security Seminar,"Samuel S. Wagstaff, Jr.",spring
CS 61500,Numerical Methods For Partial Differential Equations I,spring
CS 62600,Advanced Information Assurance,spring
CS 63500,Capturing and Rendering Real-World Scenes,Voicu S. Popescu,spring
CS 66100,Formal Compiling Methods,Zhiyuan Li,spring
CS 15800,C Programming,William N Crum,summer
CS 15900,Programming Applications For Engineers,William N Crum,summer
CS 17700,Programming With Multimedia Objects,summer
CS 23500,Introduction To Organizational Computing,summer
CS 24000,Programming In C,Gustavo Adolfo Junipero Rodriguez-rivera,summer
CS 31400,Numerical Methods,Gustavo Adolfo Junipero Rodriguez-rivera,summer
CS 11000,Introduction to Computers,Marta A. Crowe,fall
CS 15800,C Programming,William N Crum,fall
CS 15900,Programming Applications For Engineers,William N Crum,fall
CS 17700,Programming with Multimedia Objects,"Christoph M. Hoffmann, Lorenzo D. Martino",fall
CS 18000,Programming I,"Sunil Prabhakar, Lorenzo D. Martino",fall
CS 18200,Foundations Of Computer Science,Ananth Grama,fall
CS 19100-LE1,Freshm Resources Semnr,William N Crum,fall
CS 23500,Introduction to Organizational Computing,fall
CS 24000,Programming in C,Suresh Jagannathan,fall
CS 25000,Computer Architecture,Dongyan Xu,fall
CS 25100,Data Structures,Xavier Tricoche,fall
CS 25200,Systems Programming,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 28400,Professional Practice III,fall
CS 29000-SLO,Service Learn Outreach,fall
CS 29100,Sophomore Development Seminar,William N Crum,fall
CS 29100-LE1,Soph Developmt Seminar,William N Crum,fall
CS 30700,Software Engineering I,H. E. Dunsmore,fall
CS 33400,Fundamentals of Computer Graphics,Voicu S. Popescu,fall
CS 34800,Information Systems,"Zhiyuan Li, Bharat Bhargava",fall
CS 35200,Compilers: Principles and Practice,fall
CS 35400,Operating Systems,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 35500,Introduction to Cryptography,fall
CS 38100,Introduction to the Analysis of Algorithms,Mikhail Atallah,fall
CS 38600,Professional Practice IV,fall
CS 39000-CP0,Competitive Programming,fall
CS 39000-SLO,Service Learn Outreach,fall
CS 39100,Junior Resources Seminar,William N Crum,fall
CS 39100-LE1,Junior Resources Semnr,William N Crum,fall
CS 39700,Honors Seminar,Elisha Sacks,fall
CS 40800,Software Testing,Xiangyu Zhang,fall
CS 42200,Computer Networks,fall
CS 47100,Introduction to Artificial Intelligence,Elisha Sacks,fall
CS 47300,Web Information Retrieval,fall
CS 48700,Professional Practice V,fall
CS 49000-ES0,Embedded Systems,Douglas E. Comer,fall
CS 49000-ISE,International Software Engr,H. E. Dunsmore,fall
CS 49000-ST0,Software Testing,Xiangyu Zhang,fall
CS 49000-WIR,Web Information Retrieval,fall
CS 49700,Honors Research Project,Elisha Sacks,fall
CS EPICS,Engineering Projects in Community Service,fall
CS 50100,Introduction to Computational Science,fall
CS 50200,Compiling and Programming Systems,Zhiyuan Li,fall
CS 50300,Operating Systems,Kihong Park,fall
CS 51400,Numerical Analysis,Ahmed Sameh,fall
CS 51500,Numerical Linear Algebra,David Gleich,fall
CS 52600,Information Security,Ninghui Li,fall
CS 53500,Interactive Computer Graphics,Daniel G. Aliaga,fall
CS 53600,Data Communication and Computer Networks,fall
CS 54100,Database Systems,Walid G. Aref,fall
